AK,1,2016,37.6,52.8
AL,1,2016,34.1,63.5
AL,2,2016,33,64.9
AL,3,2016,32.3,65.3
AL,4,2016,17.4,80.4
AL,5,2016,31.3,64.7
AL,6,2016,26.1,70.8
AL,7,2016,69.8,28.6
AR,1,2016,30.2,65
AR,2,2016,41.7,52.4
AR,3,2016,30.5,61.9
AR,4,2016,31.3,64.2
AZ,1,2016,46.6,47.7
AZ,2,2016,49.6,44.7
AZ,3,2016,62.4,32.5
AZ,4,2016,27.5,67.7
AZ,5,2016,36.5,57.6
AZ,6,2016,42.4,52.4
AZ,7,2016,71.8,22.6
AZ,8,2016,37,58.1
AZ,9,2016,54.7,38.4
CA,1,2016,36.5,56.2
CA,2,2016,69,23.3
CA,3,2016,53,40.4
CA,4,2016,39.3,54
CA,5,2016,69.2,24.3
CA,6,2016,69.2,24.4
CA,7,2016,52.3,40.9
CA,8,2016,39.6,54.7
CA,9,2016,56.6,38
CA,10,2016,48.5,45.5
CA,11,2016,71.5,22.7
CA,12,2016,86.2,8.7
CA,13,2016,87.4,6.8
CA,14,2016,76.9,18.2
CA,15,2016,69.9,24.2
CA,16,2016,58,36.4
CA,17,2016,73.9,20.5
CA,18,2016,73.4,20.2
CA,19,2016,72.9,21.5
CA,20,2016,70.4,23.2
CA,21,2016,55.2,39.7
CA,22,2016,42.6,52.1
CA,23,2016,36.1,58.1
CA,24,2016,56.7,36.5
CA,25,2016,50.3,43.6
CA,26,2016,57.9,36
CA,27,2016,66,28.4
CA,28,2016,72.1,22.3
CA,29,2016,77.7,16.8
CA,30,2016,69.1,25.7
CA,31,2016,57.7,36.6
CA,32,2016,66.6,27.7
CA,33,2016,67.8,26.5
CA,34,2016,83.6,10.7
CA,35,2016,67.7,26.9
CA,36,2016,52.2,43.4
CA,37,2016,85.7,9.6
CA,38,2016,67,27.4
CA,39,2016,51.5,42.9
CA,40,2016,82.2,12.8
CA,41,2016,61,33.1
CA,42,2016,41.4,53.4
CA,43,2016,78.4,16.7
CA,44,2016,83,12.3
CA,45,2016,49.8,44.4
CA,46,2016,66.3,27.9
CA,47,2016,62.6,31
CA,48,2016,47.9,46.2
CA,49,2016,50.7,43.2
CA,50,2016,39.6,54.6
CA,51,2016,71.8,22.8
CA,52,2016,58.1,35.6
CA,53,2016,64.5,29.6
CO,1,2016,69,23.2
CO,2,2016,56.2,34.9
CO,3,2016,40,52
CO,4,2016,34.3,57.4
CO,5,2016,33.2,57.2
CO,6,2016,50.2,41.3
CO,7,2016,51.4,39.4
CT,1,2016,59.4,36.3
CT,2,2016,48.7,45.8
CT,3,2016,55.9,40.4
CT,4,2016,59.6,36.6
CT,5,2016,49.9,45.8
DE,1,2016,53.4,41.9
FL,1,2016,28.2,67.5
FL,2,2016,30.6,66.2
FL,3,2016,40.2,56.2
FL,4,2016,34.1,62.1
FL,5,2016,61.3,35.9
FL,6,2016,39.9,56.9
FL,7,2016,51.4,44.1
FL,8,2016,37.7,58.4
FL,9,2016,54.8,41.9
FL,10,2016,61.8,34.9
FL,11,2016,32.5,64.8
FL,12,2016,38.8,57.4
FL,13,2016,49.6,46.4
FL,14,2016,57.2,39
FL,15,2016,43.1,53.1
FL,16,2016,43,53.7
FL,17,2016,35,62.2
FL,18,2016,44.1,53.3
FL,19,2016,37.5,59.6
FL,20,2016,80.2,18.1
FL,21,2016,58.6,39.1
FL,22,2016,56.8,41
FL,23,2016,61.9,35.8
FL,24,2016,82.9,15.4
FL,25,2016,47.9,49.7
FL,26,2016,56.8,40.5
FL,27,2016,58.5,38.9
GA,1,2016,40.9,56.4
GA,2,2016,55,43.3
GA,3,2016,32.8,64.3
GA,4,2016,75.3,22.2
GA,5,2016,85,11.9
GA,6,2016,46.8,48.3
GA,7,2016,44.8,51.1
GA,8,2016,34.4,63.3
GA,9,2016,19.3,77.8
GA,10,2016,35.8,61.3
GA,11,2016,35.3,60.3
GA,12,2016,40.7,56.9
GA,13,2016,71,26.6
GA,14,2016,22.1,75
HI,1,2016,63.1,30.5
HI,2,2016,61.4,29.6
IA,1,2016,45.2,48.7
IA,2,2016,45,49.1
IA,3,2016,45,48.5
IA,4,2016,33.5,60.9
ID,1,2016,25.4,63.7
ID,2,2016,29.8,54.5
IL,1,2016,75.4,21.4
IL,2,2016,78,19.1
IL,3,2016,55.2,39.9
IL,4,2016,82.1,13.2
IL,5,2016,70.5,23.9
IL,6,2016,50.2,43.2
IL,7,2016,87.4,9.2
IL,8,2016,58.1,36.4
IL,9,2016,70.1,24.9
IL,10,2016,62,32.6
IL,11,2016,58.9,35.4
IL,12,2016,40.2,55
IL,13,2016,44.2,49.7
IL,14,2016,44.8,48.7
IL,15,2016,24.5,70.7
IL,16,2016,38.3,55.5
IL,17,2016,46.7,47.4
IL,18,2016,33.3,60.6
IN,1,2016,54.1,41.5
IN,2,2016,36.1,59.3
IN,3,2016,30.1,65.1
IN,4,2016,30.2,64.3
IN,5,2016,41.3,53.1
IN,6,2016,27.4,67.7
IN,7,2016,59,36.2
IN,8,2016,30.9,64.6
IN,9,2016,34.2,61.1
KS,1,2016,24.3,69.3
KS,2,2016,37.4,55.8
KS,3,2016,47.2,46
KS,4,2016,33,60.2
KY,1,2016,23.9,72.4
KY,2,2016,27.6,67.5
KY,3,2016,54.9,39.9
KY,4,2016,29.3,65.2
KY,5,2016,17.5,79.6
KY,6,2016,39.4,54.7
LA,1,2016,26.7,68.7
LA,2,2016,74.6,22.2
LA,3,2016,29.2,67.3
LA,4,2016,36.6,60.6
LA,5,2016,34.1,63.5
